dataset,feature,min_prediction,value_at_min,max_prediction,value_at_max,first_grid_prediction,last_grid_prediction,edge_delta,min_feature_x_value,min_feature_y_value,max_feature_x_value,max_feature_y_value
Bike rentals,days_since_2011,2700.614493006709,8.3,5580.653265290978,650.9474576271186,2700.614493006709,4787.108540999159,2086.4940479924503,NA,NA,NA,NA
Bike rentals,hum,3478.636503772354,0.9279169000000003,4428.830972446841,0.4999937847457627,4392.47108376191,3478.636503772354,-913.8345799895565,NA,NA,NA,NA
Bike rentals,temp,3073.1440153699677,0.1460436,4975.727315259899,0.6416050440677967,3073.1440153699677,4684.885386623638,1611.74137125367,NA,NA,NA,NA
Bike rentals,windspeed,3779.6301986291132,0.3785099338983051,4423.880020560753,0.059001913220338986,4374.420792664346,3789.4328628855233,-584.9879297788225,NA,NA,NA,NA
Bike rentals,temp_hum,2600.871126675593,NA,5189.686661840029,NA,NA,NA,NA,0.1460436,0.9279169000000003,0.6405573454545457,0.49406358636363645
House prices,bathrooms,486755.92891803244,1,712857.8407276169,3.75,486755.92891803244,712395.0219416836,225639.09302365116,NA,NA,NA,NA
House prices,bedrooms,528635.1501609422,6,555412.9172591766,2,555412.9172591766,528635.1501609422,-26777.767098234384,NA,NA,NA,NA
House prices,floors,542989.7366622665,2,582436.8181425208,3,545659.9930818747,582436.8181425208,36776.825060646166,NA,NA,NA,NA
House prices,sqft_living,340102.1700138108,720,1279754.5060104108,3974.6610169491523,340102.1700138108,1228736.5707718702,888634.4007580595,NA,NA,NA,NA
